AlgorithmAgent,IsWon,GameTime,Points
ExpectimaxAgent,True,0:00:01.531030,531
ExpectimaxAgent,False,0:00:35.145146,237
ExpectimaxAgent,True,0:00:48.471689,1622
AlphaBetaAgent,False,0:00:15.369823,-470
AlphaBetaAgent,False,0:00:03.209277,-407
AlphaBetaAgent,True,0:00:15.464645,974
AlphaBetaAgent,True,0:00:23.145035,1530
AlphaBetaAgent,True,0:00:16.833494,1563
ExpectimaxAgent,True,0:00:21.904939,1358
ExpectimaxAgent,False,0:00:35.603476,276
ExpectimaxAgent,True,0:00:18.874315,1172
ExpectimaxAgent,True,0:00:20.144736,1160
ExpectimaxAgent,True,0:00:19.876497,1369
ExpectimaxAgent,True,0:00:36.861256,1289
ExpectimaxAgent,False,0:00:31.716454,257
ExpectimaxAgent,False,0:00:20.764087,73
ExpectimaxAgent,True,0:00:28.207467,1516
AlphaBetaAgent,True,0:00:16.162704,1164
AlphaBetaAgent,True,0:00:19.527652,1329
ExpectimaxAgent,True,0:00:19.393791,1357
ExpectimaxAgent,True,0:00:17.183858,1571
ExpectimaxAgent,True,0:00:15.499372,1579
AlphaBetaAgent,True,0:00:17.283273,1755
AlphaBetaAgent,True,0:00:17.692452,1555
AlphaBetaAgent,True,0:00:16.624041,959
AlphaBetaAgent,True,0:00:20.037612,1343
AlphaBetaAgent,False,0:00:37.010348,594
AlphaBetaAgent,False,0:00:00.250742,-501
AlphaBetaAgent,False,0:00:00.258954,-501
AlphaBetaAgent,False,0:00:00.255142,-501
AlphaBetaAgent,False,0:00:00.260057,-501
AlphaBetaAgent,False,0:00:00.233908,-501
ExpectimaxAgent,False,0:00:00.390190,-502
ExpectimaxAgent,True,0:00:01.392537,532
AlphaBetaAgent,False,0:00:00.237282,-501
AlphaBetaAgent,False,0:00:00.245981,-501
AlphaBetaAgent,False,0:00:00.243821,-501
AlphaBetaAgent,False,0:00:00.231553,-501
AlphaBetaAgent,False,0:00:00.249119,-501
AlphaBetaAgent,False,0:00:00.249737,-501
AlphaBetaAgent,False,0:00:00.260365,-501
AlphaBetaAgent,False,0:00:00.250628,-501
AlphaBetaAgent,False,0:00:00.237568,-501
AlphaBetaAgent,False,0:00:00.264654,-501
AlphaBetaAgent,False,0:00:00.235597,-501
AlphaBetaAgent,False,0:00:00.254211,-501
ExpectimaxAgent,True,0:00:01.358201,532
ExpectimaxAgent,False,0:00:00.394607,-502
AlphaBetaAgent,False,0:00:18.460508,-131
AlphaBetaAgent,False,0:00:30.165429,233
AlphaBetaAgent,False,0:00:05.454796,72
AlphaBetaAgent,True,0:00:20.620552,1540
AlphaBetaAgent,False,0:00:00.393330,-502
AlphaBetaAgent,False,0:00:00.401042,-502
AlphaBetaAgent,False,0:00:00.391120,-502
AlphaBetaAgent,False,0:00:00.390046,-502
AlphaBetaAgent,False,0:00:00.386602,-502
AlphaBetaAgent,False,0:00:00.402910,-502
AlphaBetaAgent,False,0:00:00.388847,-502
AlphaBetaAgent,True,0:00:01.362367,532
AlphaBetaAgent,False,0:00:00.396990,-502
AlphaBetaAgent,True,0:00:01.411504,532
AlphaBetaAgent,False,0:00:00.547074,-503
AlphaBetaAgent,False,0:00:00.515718,-503
AlphaBetaAgent,False,0:00:01.040892,-506
AlphaBetaAgent,False,0:00:00.546160,-503
AlphaBetaAgent,True,0:00:19.403096,1551
AlphaBetaAgent,False,0:00:13.984677,271
AlphaBetaAgent,True,0:00:28.033830,1300
AlphaBetaAgent,True,0:00:01.406393,532
AlphaBetaAgent,True,0:00:01.332940,532
AlphaBetaAgent,False,0:00:00.396288,-502
AlphaBetaAgent,False,0:00:00.849877,-505
AlphaBetaAgent,False,0:00:00.884132,-505
AlphaBetaAgent,False,0:00:00.402090,-502
AlphaBetaAgent,False,0:00:00.389035,-502
AlphaBetaAgent,True,0:00:01.374573,532
AlphaBetaAgent,False,0:00:00.412885,-502
AlphaBetaAgent,False,0:00:00.419953,-502
AlphaBetaAgent,False,0:00:00.420442,-502
AlphaBetaAgent,True,0:00:01.413972,532
AlphaBetaAgent,True,0:00:01.371149,532
AlphaBetaAgent,False,0:00:00.423416,-502
AlphaBetaAgent,True,0:00:01.322549,532
AlphaBetaAgent,True,0:00:01.353067,532
AlphaBetaAgent,False,0:00:00.399070,-502
ExpectimaxAgent,True,0:00:01.356232,532
ExpectimaxAgent,False,0:00:00.416398,-502
ExpectimaxAgent,True,0:00:20.633640,1363
AlphaBetaAgent,False,0:00:17.979156,526
AlphaBetaAgent,True,0:00:17.328774,1758
AlphaBetaAgent,False,0:00:10.583848,36
AlphaBetaAgent,False,0:00:16.906748,272
AlphaBetaAgent,False,0:00:03.436744,-397
AlphaBetaAgent,False,0:00:15.022193,119
AlphaBetaAgent,False,0:00:08.695619,233
AlphaBetaAgent,True,0:00:20.388189,1340
ExpectimaxAgent,True,0:00:21.864037,1150
ExpectimaxAgent,False,0:00:25.501235,716
ExpectimaxAgent,True,0:00:21.472069,1549
ExpectimaxAgent,True,0:00:19.705578,1152
AlphaBetaAgent,True,0:00:19.031021,1347
AlphaBetaAgent,False,0:00:03.283572,-405
AlphaBetaAgent,True,0:00:28.757097,1698
ExpectimaxAgent,True,0:00:18.766207,1564
ExpectimaxAgent,True,0:00:23.531719,1538
ExpectimaxAgent,False,0:00:15.035566,-131
